"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 16 16:10:51 BDT 2023","Thu Feb 16 16:10:55 BDT 2023","3931","Suite","Test","testcases.LoginTest","testcases.LoginTest","testLogInWithInvalidCredentialsUsingDataprovider","testLogInWithInvalidCredentialsUsingDataprovider",""
"passed","Thu Feb 16 16:10:58 BDT 2023","Thu Feb 16 16:11:02 BDT 2023","3801","Suite","Test","testcases.LoginTest","testcases.LoginTest","testLoginWithValidPhnInValidpasswordCredentials","testLoginWithValidPhnInValidpasswordCredentials",""
"passed","Thu Feb 16 16:10:55 BDT 2023","Thu Feb 16 16:10:58 BDT 2023","3817","Suite","Test","testcases.LoginTest","testcases.LoginTest","testLoginWithInValidCredentials","Test Login with invalid credential !","Test Login with invalid credentials from Allure"
"passed","Thu Feb 16 16:10:42 BDT 2023","Thu Feb 16 16:10:51 BDT 2023","8981","Suite","Test","testcases.LoginTest","testcases.LoginTest","testLogInWithInvalidCredentialsUsingDataprovider","testLogInWithInvalidCredentialsUsingDataprovider",""
"passed","Thu Feb 16 16:10:24 BDT 2023","Thu Feb 16 16:10:39 BDT 2023","14959","Suite","Test","testcases.HomePageTest","testcases.HomePageTest","HomePageTitle","HomePageTitle",""
"failed","Thu Feb 16 15:33:42 BDT 2023","Thu Feb 16 15:33:46 BDT 2023","3768","Suite","Test","testcases.LoginTest","testcases.LoginTest","testLogInWithInvalidCredentialsUsingDataprovider","testLogInWithInvalidCredentialsUsingDataprovider",""
